2024-06-26 20:14:28,528: k
2024-06-26 20:14:29,312: k
2024-06-26 20:14:29,488: k
2024-06-26 20:14:29,648: k
2024-06-26 20:14:51,456: s
2024-06-26 20:14:51,608: s
2024-06-26 20:15:02,224: k
2024-06-26 20:15:02,448: e
2024-06-26 20:15:02,904: y
2024-06-26 20:15:08,656: f
2024-06-26 20:15:08,848: i
2024-06-26 20:15:09,056: l
2024-06-26 20:15:09,216: e
2024-06-26 20:15:14,448: n
2024-06-26 20:15:14,576: o
2024-06-26 20:15:14,760: t
2024-06-26 20:15:15,832: Key.backspace
2024-06-26 20:15:16,009: Key.backspace
2024-06-26 20:15:16,184: Key.backspace
2024-06-26 20:15:18,512: n
2024-06-26 20:15:18,686: o
2024-06-26 20:15:18,856: t
2024-06-26 20:15:19,009: e
2024-06-26 20:15:19,936: Key.enter
2024-06-26 20:15:33,208: Key.shift
2024-06-26 20:15:33,552: P
2024-06-26 20:15:33,752: R
2024-06-26 20:15:33,872: O
2024-06-26 20:15:34,480: D
2024-06-26 20:15:34,720: I
2024-06-26 20:15:35,016: G
2024-06-26 20:15:35,160: I
2024-06-26 20:15:36,664: Key.shift
2024-06-26 20:15:37,164: Key.shift
2024-06-26 20:15:37,197: Key.shift
2024-06-26 20:15:37,230: Key.shift
2024-06-26 20:15:37,263: Key.shift
2024-06-26 20:15:37,296: Key.shift
2024-06-26 20:15:37,329: Key.shift
2024-06-26 20:15:37,362: Key.shift
2024-06-26 20:15:37,395: Key.shift
2024-06-26 20:15:37,428: Key.shift
2024-06-26 20:15:37,461: Key.shift
2024-06-26 20:15:37,494: Key.shift
2024-06-26 20:15:37,527: Key.shift
2024-06-26 20:15:37,560: Key.shift
2024-06-26 20:15:37,593: Key.shift
2024-06-26 20:15:37,626: Key.shift
2024-06-26 20:15:37,659: Key.shift
2024-06-26 20:15:37,692: Key.shift
2024-06-26 20:15:37,725: Key.shift
2024-06-26 20:15:37,736: T
2024-06-26 20:15:37,976: E
2024-06-26 20:15:38,384: C
2024-06-26 20:15:38,584: H
2024-06-26 20:15:39,256: Key.space
2024-06-26 20:15:39,472: Key.shift
2024-06-26 20:15:39,880: T
2024-06-26 20:15:40,024: A
2024-06-26 20:15:40,120: S
2024-06-26 20:15:40,544: K
2024-06-26 20:15:41,400: Key.space
2024-06-26 20:15:42,032: Key.shift
2024-06-26 20:15:42,224: #
2024-06-26 20:15:42,545: Key.space
2024-06-26 20:15:42,936: Key.shift
2024-06-26 20:15:43,672: 4
2024-06-26 20:16:47,344: s
2024-06-26 20:16:47,513: s
2024-06-26 20:17:01,360: Key.shift
2024-06-26 20:17:01,576: K
2024-06-26 20:17:02,432: E
2024-06-26 20:17:02,792: Y
2024-06-26 20:17:22,592: Key.ctrl_l
2024-06-26 20:17:22,736: 
2024-06-26 20:17:24,824: Key.ctrl_l
2024-06-26 20:17:25,323: Key.ctrl_l
2024-06-26 20:17:25,356: Key.ctrl_l
2024-06-26 20:17:25,390: Key.ctrl_l
2024-06-26 20:17:25,423: Key.ctrl_l
2024-06-26 20:17:25,455: Key.ctrl_l
2024-06-26 20:17:25,488: Key.ctrl_l
2024-06-26 20:17:25,521: Key.ctrl_l
2024-06-26 20:17:25,554: Key.ctrl_l
2024-06-26 20:17:25,588: Key.ctrl_l
2024-06-26 20:17:25,592: 
2024-06-26 20:17:53,712: Key.ctrl_l
2024-06-26 20:17:53,992: 
2024-06-26 20:17:58,056: Key.ctrl_l
2024-06-26 20:17:58,216: 
2024-06-26 20:17:58,592: Key.shift
2024-06-26 20:17:58,984: Key.enter
2024-06-26 20:17:59,144: Key.enter
2024-06-26 20:17:59,280: Key.enter
2024-06-26 20:17:59,752: l
2024-06-26 20:17:59,944: i
2024-06-26 20:18:00,096: k
2024-06-26 20:18:00,216: e
2024-06-26 20:18:00,369: Key.space
2024-06-26 20:18:00,568: t
2024-06-26 20:18:00,721: h
2024-06-26 20:18:00,824: i
2024-06-26 20:18:00,936: s
2024-06-26 20:18:01,048: Key.space
2024-06-26 20:18:01,160: m
2024-06-26 20:18:01,248: a
2024-06-26 20:18:01,376: k
2024-06-26 20:18:01,449: e
2024-06-26 20:18:01,624: Key.space
2024-06-26 20:18:01,785: i
2024-06-26 20:18:02,056: t
